Date,hnt_Mined,Helium_Oracle_Price,Mined_Value,Weekend
10/4/21,0.41,20.61,8.38,2
10/5/21,0.31,21.41,6.66,3
10/6/21,0.15,21.27,3.09,4
10/7/21,0.28,21.08,5.96,5
10/8/21,0.44,20.47,9.04,6
10/9/21,0.11,20.18,2.21,7
10/10/21,0.3,19.61,5.92,1
10/11/21,0.48,19.44,9.26,2
10/12/21,0.24,18.77,4.43,3
10/13/21,0.15,19.15,2.95,4
10/14/21,0.04,19.6,0.88,5
10/16/21,0.02,21.42,0.53,7
10/17/21,0.02,21.94,0.51,1
10/18/21,0.11,21.49,2.41,2
10/19/21,0,21.2,0,3
10/23/21,0.1,21.26,2.03,7
10/24/21,0.14,21.17,2.87,1
10/25/21,0.25,21.42,5.46,2
10/26/21,0.48,22.61,10.85,3
10/27/21,0.52,24.34,12.76,4
10/28/21,0.55,25.69,14.02,5
10/29/21,0.08,27.82,2.12,6
10/30/21,0.19,29.23,5.47,7
10/31/21,0.15,29.54,4.38,1
11/1/21,0.25,28.6,7.13,2
11/2/21,0.11,28.75,3.13,3
11/3/21,0.29,28.04,8.18,4
11/5/21,0.33,31.22,10.28,6
11/6/21,0.36,34.44,12.41,7
11/7/21,0.61,39.78,24.14,1
11/8/21,0.17,42.68,7.29,2
11/9/21,0.13,48.01,6.05,3
11/10/21,0.09,45.82,3.97,4
11/11/21,0.35,50.46,17.75,5
11/13/21,0.34,50.61,17.05,7
11/14/21,0.64,51.85,33.4,1
11/15/21,0.22,50.66,11.15,2
11/17/21,0.39,48.43,18.72,4
11/18/21,0.43,44.59,18.98,5
11/19/21,0.49,40.86,19.85,6
11/20/21,0.21,40.83,8.75,7
11/21/21,0,45.76,0,1
11/22/21,0.43,43.21,18.5,2
11/23/21,0.13,43.35,5.5,3
11/24/21,0.34,43.43,14.76,4
11/25/21,0.36,46.11,16.51,5
11/26/21,0.36,43.19,15.52,6
11/27/21,0.35,41.01,14.34,7
11/28/21,0.3,38.6,11.47,1
11/29/21,0.16,40.41,6.32,2
12/1/21,0,38.27,0,4
12/2/21,0.09,38.73,3.34,5
12/4/21,0.24,30.99,7.37,7
12/5/21,0.3,33.36,9.93,1
12/6/21,0.28,30.27,8.5,2
12/7/21,0.36,32.1,11.41,3
12/8/21,0.18,30.91,5.62,4
12/9/21,0.14,29.34,4,5
12/10/21,0.37,29.19,10.76,6
12/11/21,0.2,29.2,5.82,7
12/12/21,0.18,29.4,5.27,1
12/13/21,0.21,28.2,5.79,2
12/14/21,0.37,26.78,10.03,3
12/15/21,0.29,28.39,8.21,4
12/16/21,0.21,32.26,6.74,5
12/17/21,0.25,33.1,8.21,6
12/18/21,0.16,33.82,5.54,7
12/19/21,0.18,32.5,5.76,1
12/20/21,0.22,31.65,6.9,2
12/21/21,0.27,35.5,9.7,3
12/22/21,0.27,38.26,10.24,4
12/23/21,0.28,39.78,11.04,5
12/24/21,0.1,38.42,3.99,6
12/25/21,0.17,37.9,6.52,7
12/26/21,0.36,37.65,13.57,1
12/27/21,0.27,40.02,10.99,2
12/28/21,0.18,37.88,6.74,3
12/29/21,0.2,38.33,7.51,4
12/30/21,0.18,37.42,6.76,5
1/1/22,0.09,39.27,3.61,7
1/2/22,0.18,39.68,7.16,1
1/4/22,0.17,40.72,7.11,3
1/5/22,0.2,42.81,8.47,4
1/6/22,0.28,38.52,10.72,5
1/7/22,0.28,37.9,10.68,6
1/8/22,0.26,34.5,8.83,7
1/9/22,0.33,32.59,10.69,1
1/10/22,0.33,32.29,10.64,2
1/11/22,0.38,31.82,12.18,3
1/12/22,0.28,33.71,9.49,4
1/13/22,0.43,34.16,14.85,5
1/14/22,0.3,32.42,9.81,6
1/15/22,0.13,33.85,4.29,7
1/16/22,0.15,33.84,5.22,1
1/17/22,0.22,32.43,7.27,2
1/18/22,0,32.87,0,3
1/19/22,0.06,30.08,1.92,4
1/20/22,0.17,29.8,5.01,5
1/21/22,0.28,26.93,7.41,6
1/22/22,0.25,22.65,5.57,7
1/23/22,0.19,22.73,4.33,1
1/24/22,0.14,21.9,3.18,2
1/25/22,0.22,23.28,5.06,3
1/26/22,0.16,27.04,4.25,4
1/27/22,0.21,28.29,6.06,5
1/28/22,0.27,27.63,7.58,6
1/29/22,0.19,27.43,5.32,7
1/30/22,0.2,27.46,5.45,1
1/31/22,0.15,27.73,4.15,2
2/1/22,0.17,27.59,4.62,3
2/2/22,0.08,27.07,2.2,4
2/3/22,0.18,25.13,4.54,5
2/4/22,0.2,26.1,5.23,6
2/5/22,0.15,28.79,4.42,7
2/6/22,0.12,29.89,3.67,1
2/7/22,0.15,30.69,4.72,2
2/8/22,0.22,29.32,6.54,3
2/9/22,0.21,29.58,6.35,4
2/10/22,0.24,29.99,7.17,5
2/11/22,0.21,29.34,6.17,6
2/12/22,0.22,27.26,5.97,7
2/13/22,0.17,26.79,4.47,1
2/14/22,0.11,24.96,2.77,2
2/15/22,0.24,27,6.43,3
2/16/22,0.14,26.92,3.68,4
2/17/22,0.16,26.21,4.27,5
2/18/22,0.28,25.47,7.04,6
2/19/22,0.13,25.05,3.16,7
2/20/22,0.25,23,5.66,1
2/21/22,0.15,23.35,3.51,2
2/22/22,0.16,22.08,3.55,3
2/23/22,0.2,23.31,4.64,4
2/24/22,0.13,21.05,2.67,5
2/25/22,0.23,22.9,5.15,6
2/26/22,0.1,24.11,2.35,7
2/27/22,0.17,24.05,4.17,1
2/28/22,0.12,23.28,2.73,2
3/1/22,0.07,25.12,1.83,3
3/2/22,0.11,24.19,2.54,4
3/3/22,0.12,23.92,2.92,5
3/4/22,0.09,22.23,1.96,6
3/5/22,0.12,21.56,2.67,7
3/6/22,0.11,21.63,2.37,1
3/7/22,0.22,20.85,4.49,2
3/8/22,0.22,21.75,4.86,3
3/9/22,0.11,22.05,2.46,4
3/10/22,0.17,21.13,3.58,5
3/11/22,0.19,21.28,3.99,6
3/12/22,0.16,21.32,3.31,7
3/13/22,0.14,21.22,2.96,1
3/14/22,0.16,20.47,3.2,2
3/15/22,0.2,20.57,4.07,3
3/16/22,0.23,21.59,5.01,4
3/17/22,0.18,22.57,4.12,5
3/18/22,0.13,23.78,3.05,6
3/19/22,0.08,24.27,2.05,7
3/20/22,0.12,23.05,2.82,1
3/21/22,0.2,21.94,4.33,2
3/22/22,0.17,23.45,4.02,3
3/23/22,0.12,24.25,2.92,4
3/24/22,0.17,24.51,4.1,5
3/25/22,0.08,24.83,1.96,6
