Date,Helium(%),Helium,Ethereum(%),Ethereum,Bitcoin(%),Bitcoin,S&P 500(%),S&P 500,Nasdaq(%),Nasdaq
2021-10-04,24.3493349,21.5,13.9164248,3418.78,10.0239543,48208.91,0.7338157,4348.84,-0.0124871,14493.12
2021-10-05,-3.2093023,20.81,-1.0822574,3381.78,2.0038827,49174.96,-0.896101,4309.87,-1.2437626,14312.86
2021-10-06,4.3248438,21.71,3.9857708,3516.57,4.7009901,51486.67,0.2250648,4319.57,-0.1635592,14289.45
2021-10-07,-0.5527407,21.59,1.7130329,3576.81,7.481451,55338.62,1.485333,4383.73,2.3958235,14631.8
2021-10-08,-5.2802223,20.45,0.3080958,3587.83,-2.7764877,53802.15,0.5196488,4406.51,0.4300223,14694.72
2021-10-11,-6.5036675,19.12,-4.6852833,3419.73,1.732217,54734.12,-0.4781562,4385.44,-1.0523508,14540.08
2021-10-12,-0.2615063,19.07,3.706433,3546.48,5.1023201,57526.83,-0.3906107,4368.31,-6.81E-03,14539.09
2021-10-13,0.4719455,19.16,-1.5150233,3492.75,-2.58761,56038.26,-0.2357891,4358.01,-0.0132058,14537.17
2021-10-14,1.3048017,19.41,3.2126548,3604.96,2.3815336,57372.83,0.6594753,4386.75,1.2404753,14717.5
2021-10-15,3.451829,20.08,5.1370889,3790.15,-0.0469386,57345.9,1.3891833,4447.69,1.1804994,14891.24
2021-10-18,8.2669323,21.74,1.5192011,3847.73,7.3290331,61548.8,0.3604118,4463.72,-0.3458409,14839.74
2021-10-19,-2.5298988,21.19,-2.6137489,3747.16,0.8032163,62043.17,0.7531834,4497.34,1.5727364,15073.13
2021-10-20,4.3888627,22.12,3.4845056,3877.73,3.6126781,64284.59,0.6021337,4524.42,0.5763236,15160
2021-10-21,2.034358,22.57,7.3233567,4161.71,2.6719312,66002.23,0.1728398,4532.24,-0.3641161,15104.8
2021-10-22,-3.6774479,21.74,-2.5475105,4055.69,-5.7033528,62237.89,0.3062503,4546.12,0.3526694,15158.07
2021-10-25,-3.5418583,20.97,0.708634,4084.43,-2.159392,60893.93,0.1665156,4553.69,-0.0999468,15142.92
2021-10-26,1.9074869,21.37,3.2540648,4217.34,3.5123862,63032.76,0.5490053,4578.69,1.152882,15317.5
2021-10-27,13.008891,24.15,-2.0195194,4132.17,-4.2529631,60352,0.0334157,4580.22,-0.2709319,15276
2021-10-28,5.7971014,25.55,-5.0179446,3924.82,-3.1171626,58470.73,-0.3794578,4562.84,0.1881383,15304.74
2021-10-29,4.5401174,26.71,9.2709984,4288.69,3.6841339,60624.87,0.2198192,4572.87,0.1212043,15323.29
2021-11-01,8.6110071,29.01,-0.0109591,4288.22,1.1473509,61320.45,0.825521,4610.62,1.4224752,15541.26
2021-11-02,-2.4474319,28.3,0.7993993,4322.5,-0.5825137,60963.25,0.0589942,4613.34,0.2748812,15583.98
2021-11-03,1.1660777,28.63,6.1811452,4589.68,3.758133,63254.33,0.3752162,4630.65,0.4783117,15658.52
2021-11-04,0.4889976,28.77,0.3268202,4604.68,-0.4940848,62941.8,0.6970944,4662.93,1.2211882,15849.74
2021-11-05,3.9624609,29.91,-1.4606878,4537.42,-2.3541113,61460.08,0.7791239,4699.26,0.9704891,16003.56
2021-11-08,50.0501505,44.88,1.8122634,4619.65,3.0653881,63344.07,0.0472415,4701.48,-0.0489891,15995.72
2021-11-09,-4.8128342,42.72,4.1219573,4810.07,6.639406,67549.74,0.1227273,4707.25,0.17761,16024.13
2021-11-10,10.0187266,47,-1.5947793,4733.36,-0.882905,66953.34,-0.7858091,4670.26,-1.6867686,15753.84
2021-11-11,7.9787234,50.75,-2.0685095,4635.45,-2.948994,64978.89,-0.2327494,4659.39,-0.0111719,15752.08
2021-11-12,-4.0985222,48.67,1.916966,4724.31,-0.176842,64863.98,-0.0890675,4655.24,3.43E-03,15752.62
2021-11-15,8.2802548,52.7,-2.0578667,4627.09,1.0133667,65521.29,0.7316486,4689.3,0.902707,15894.82
2021-11-16,-10.113852,47.37,-1.2234471,4570.48,-2.747336,63721.2,-0.2106924,4679.42,-0.342879,15840.32
2021-11-17,-6.4597847,44.31,-7.8015876,4213.91,-5.6207039,60139.62,0.4718533,4701.5,0.8415234,15973.62
2021-11-18,2.685624,45.5,1.7534784,4287.8,0.3666801,60360.14,-0.0165904,4700.72,-1.44E-03,15973.39
2021-11-19,-13.3186813,39.44,-6.8116517,3995.73,-5.7389032,56896.13,0.1642302,4708.44,0.4305285,16042.16
2021-11-22,12.3225152,44.3,6.7767342,4266.51,3.1825012,58706.85,0.0756089,4712,0.4909563,16120.92
2021-11-23,-5.4853273,41.87,-4.1446053,4089.68,-4.0920097,56304.56,-0.7113752,4678.48,-1.9317756,15809.5
2021-11-24,9.2667781,45.75,6.1217504,4340.04,2.2401205,57565.85,-0.0577111,4675.78,-0.8325374,15677.88
2021-11-26,1.6174863,46.49,4.1974268,4522.21,2.4223389,58960.29,-0.2384629,4664.63,-0.0861086,15664.38
2021-11-29,-13.3362013,40.29,-4.9811928,4296.95,-2.8296842,57291.9,-0.7691928,4628.75,0.3513704,15719.42
2021-11-30,0.1489203,40.35,3.5099315,4447.77,0.9394173,57830.11,0.2484472,4640.25,-0.0185757,15716.5
2021-12-01,-3.023544,39.13,3.9550157,4623.68,-1.5945673,56907.97,-0.8066376,4602.82,0.2275952,15752.27
2021-12-02,-2.3255814,38.22,-0.8077981,4586.33,0.5436848,57217.37,-2.1310849,4504.73,-3.6213828,15181.82
2021-12-03,0.5232862,38.42,-1.5692286,4514.36,-1.237736,56509.17,1.8815778,4589.49,1.6262214,15428.71
2021-12-06,-18.0374805,31.49,-6.9857078,4199,-12.5567054,49413.48,-0.8959601,4548.37,-2.0162412,15117.63
2021-12-07,-0.9526834,31.19,3.8006668,4358.59,2.3644358,50581.83,1.8380211,4631.97,2.601466,15510.91
2021-12-08,4.4565566,32.58,-1.0764949,4311.67,0.1696657,50667.65,1.2713813,4690.86,1.1587973,15690.65
